Source IP,Packet Count,Average Packet Size,Packet Rate,Protocols Used,First Seen,Last Seen
192.168.147.246,228,245.28,0.63,"TLS,TCP,DNS",2026-03-10 00:01:18.063239,2026-03-10 00:07:19.512934
192.168.147.149,78,230.26,0.22,DNS,2026-03-10 00:01:19.329022,2026-03-10 00:07:14.237769
13.107.5.93,60,533.23,4.23,"TLS,TCP",2026-03-10 00:07:02.254913,2026-03-10 00:07:16.431129
134.224.240.223,29,87.41,0.08,"TLS,TCP",2026-03-10 00:01:18.080037,2026-03-10 00:07:19.499087
20.42.73.26,23,281.87,0.11,"TLS,TCP",2026-03-10 00:03:28.398040,2026-03-10 00:06:59.191687
52.168.112.67,16,70.0,0.64,TCP,2026-03-10 00:04:25.191670,2026-03-10 00:04:50.193123
140.82.112.21,16,362.44,0.69,"TLS,TCP",2026-03-10 00:05:35.193393,2026-03-10 00:05:58.488536
52.168.117.171,10,571.5,8.71,"TLS,TCP",2026-03-10 00:02:24.762889,2026-03-10 00:02:25.911281
20.189.172.32,10,556.0,7.88,"TLS,TCP",2026-03-10 00:07:05.392666,2026-03-10 00:07:06.661686
23.192.115.219,10,163.6,32.88,"TLS,TCP",2026-03-10 00:07:13.916835,2026-03-10 00:07:14.220974
23.54.81.211,10,262.9,56.81,"TLS,TCP",2026-03-10 00:07:14.275547,2026-03-10 00:07:14.451579
142.251.43.4,5,70.0,0.34,TCP,2026-03-10 00:01:52.122022,2026-03-10 00:02:06.703501
20.44.10.122,4,70.0,0.59,TCP,2026-03-10 00:07:02.894966,2026-03-10 00:07:09.651817
